Thu Feb 06 16:31:09 COT 2025; Nombre: Maria; Apellido: DosSantos; Id: null
Thu Feb 06 16:31:21 COT 2025; Nombre: Hector; Apellido: Contreras; Id: 119
Thu Feb 06 16:32:59 COT 2025; Nombre: Maria; Apellido: DosSantos; Id: null
Thu Feb 06 16:36:55 COT 2025; Nombre: Maria; Apellido: DosSantos; Id: null
Thu Feb 06 16:37:07 COT 2025; Nombre: Hector; Apellido: Contreras; Id: 121
Thu Feb 06 16:37:19 COT 2025; Nombre: Jose; Apellido: Artes; Id: 122
Thu Feb 06 16:47:59 COT 2025; Nombre: Maria; Apellido: DosSantos; Id: null
Thu Feb 06 16:48:09 COT 2025; Nombre: Hector; Apellido: Contreras; Id: 124
Thu Feb 06 16:48:21 COT 2025; Nombre: Jose; Apellido: Artes; Id: 125
Thu Feb 06 16:48:32 COT 2025; Nombre: Milan; Apellido: Burgo; Id: 126
Thu Feb 06 16:48:45 COT 2025; Nombre: Emilia; Apellido: Bester; Id: VE_Id_null
Thu Feb 06 16:50:53 COT 2025; Nombre: Maria; Apellido: DosSantos; Id: null
Thu Feb 06 16:51:04 COT 2025; Nombre: Hector; Apellido: Contreras; Id: 128
Thu Feb 06 16:51:16 COT 2025; Nombre: Jose; Apellido: Artes; Id: 129
Thu Feb 06 16:51:26 COT 2025; Nombre: Milan; Apellido: Burgo; Id: 130
Thu Mar 27 16:48:22 EST 2025; Nombre: Marco; Apellido: Bare; Id: null
Thu Mar 27 16:48:22 EST 2025; Nombre: Nolan; Apellido: Sossa; Id: null
Thu Mar 27 16:48:22 EST 2025; Nombre: Jose; Apellido: Artes; Id: null
Thu Mar 27 16:48:22 EST 2025; Nombre: Hector; Apellido: Contreras; Id: null
Thu Mar 27 16:48:22 EST 2025; Nombre: Maria; Apellido: DosSantos; Id: null
Thu Mar 27 16:48:22 EST 2025; Nombre: Emilia; Apellido: Bester; Id: null
Thu Mar 27 16:48:22 EST 2025; Nombre: Milan; Apellido: Burgo; Id: null
Thu Mar 27 16:48:22 EST 2025; Nombre: Liz; Apellido: Mello; Id: null
Thu Mar 27 16:48:22 EST 2025; Nombre: Nixandra; Apellido: Toles; Id: null
Thu Mar 27 16:48:23 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: null
Thu Mar 27 16:48:29 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: VE_Id_null
Thu Mar 27 16:48:29 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: 82
Thu Mar 27 16:48:29 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: 83
Thu Mar 27 16:48:30 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: 85
Thu Mar 27 16:48:30 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: 86
Thu Mar 27 16:48:30 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: 87
Thu Mar 27 16:48:31 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: 88
Thu Mar 27 16:48:31 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: 89
Thu Mar 27 16:48:35 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: 84
Thu Mar 27 16:48:35 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: VE_Id_null
Thu Mar 27 16:48:37 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: VE_Id_null
Thu Mar 27 16:48:38 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: VE_Id_null
Thu Mar 27 16:48:38 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: VE_Id_null
Thu Mar 27 16:48:43 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: VE_Id_null
Thu Mar 27 16:48:44 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: VE_Id_null
Thu Mar 27 16:48:44 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: VE_Id_null
Thu Mar 27 16:48:44 EST 2025; Nombre: <EOF>; Apellido: <EOF>; Id: VE_Id_null
